source,destination,score
hsa-miR-132-5p,ADI1,0.7161972522735596
hsa-miR-1182,ADI1,0.7161972522735596
hsa-miR-6764-5p,ADI1,0.7161972522735596
hsa-miR-3115,ADI1,0.7161972522735596
hsa-miR-571,ADI1,0.7161972522735596
hsa-miR-1276,ADI1,0.7161972522735596
hsa-miR-517a-3p,ADI1,0.7161972522735596
hsa-miR-548j-5p,ADI1,0.7161972522735596
hsa-miR-1260a,ADI1,0.7161972522735596
hsa-miR-590-5p,ADI1,0.7161972522735596
hsa-miR-3117-5p,ADI1,0.7161972522735596
hsa-miR-2116-3p,ADI1,0.7161972522735596
hsa-miR-5579-3p,ADI1,0.7161972522735596
hsa-miR-26b-5p,ADI1,0.7161972522735596
hsa-miR-3157-5p,ADI1,0.7161972522735596
hsa-miR-431-5p,ADI1,0.7161972522735596
hsa-miR-3679-5p,ADI1,0.7161972522735596
hsa-miR-15a-3p,ADI1,0.7161972522735596
hsa-miR-1185-2-3p,ADI1,0.7161972522735596
hsa-miR-6847-5p,ADI1,0.7161972522735596
hsa-miR-320b,ADI1,0.7161972522735596
hsa-miR-138-2-3p,FGD1,0.7161972522735596
hsa-miR-517a-3p,FGD1,0.7161972522735596
hsa-miR-1270,FGD1,0.7161972522735596
hsa-miR-548j-5p,FGD1,0.7161972522735596
hsa-miR-5000-3p,FGD1,0.7161972522735596
hsa-miR-1263,FGD1,0.7161972522735596
hsa-miR-34a-5p,FGD1,0.7161972522735596
hsa-miR-433-3p,FGD1,0.7161972522735596
hsa-miR-15a-3p,FGD1,0.7161972522735596
hsa-miR-376a-3p,FGD1,0.7161972522735596
hsa-miR-346,FGD1,0.7161972522735596
hsa-miR-2116-3p,FGD1,0.7161972522735596
hsa-miR-96-3p,FGD1,0.7161972522735596
hsa-miR-140-3p,FGD1,0.7161972522735596
hsa-miR-1182,FGD1,0.7161972522735596
hsa-miR-3529-3p,FGD1,0.7161972522735596
hsa-miR-302a-5p,FGD1,0.7161972522735596
hsa-miR-3691-5p,FGD1,0.7161972522735596
hsa-let-7b-5p,FGD1,0.7161972522735596
hsa-miR-3184-5p,FGD1,0.7161972522735596
hsa-miR-496,FGD1,0.7161972522735596
hsa-miR-143-5p,FGD1,0.7161972522735596
hsa-miR-362-3p,FGD1,0.7161972522735596
hsa-miR-30b-3p,FGD1,0.7161972522735596
hsa-miR-3614-5p,FGD1,0.7161972522735596
hsa-miR-365a-5p,FGD1,0.7161972522735596
hsa-miR-885-3p,FGD1,0.7161972522735596
hsa-miR-4796-3p,FGD1,0.7161972522735596
hsa-miR-383-5p,FGD1,0.7161972522735596
hsa-miR-511-3p,FGD1,0.7161972522735596
hsa-miR-5001-3p,FGD1,0.7161972522735596
hsa-miR-208a-5p,FGD1,0.7161972522735596
hsa-miR-195-3p,FGD1,0.7161972522735596
hsa-miR-450a-2-3p,FGD1,0.7161972522735596
hsa-miR-18b-3p,FGD1,0.7161972522735596
hsa-miR-18b-5p,FGD1,0.7161972522735596
hsa-miR-362-5p,FGD1,0.7161972522735596
hsa-miR-2682-5p,FGD1,0.7161972522735596
hsa-miR-147a,FGD1,0.7161972522735596
hsa-miR-1284,FGD1,0.7161972522735596
hsa-miR-760,FGD1,0.7161972522735596
hsa-miR-376a-5p,VRK3,0.7161972522735596
hsa-miR-557,VRK3,0.7161972522735596
hsa-miR-127-5p,VRK3,0.7161972522735596
hsa-miR-138-2-3p,VRK3,0.7161972522735596
hsa-miR-1260a,VRK3,0.7161972522735596
hsa-miR-380-3p,VRK3,0.7161972522735596
hsa-miR-708-5p,VRK3,0.7161972522735596
hsa-miR-3174,VRK3,0.7161972522735596
hsa-miR-548j-5p,VRK3,0.7161972522735596
hsa-miR-34c-5p,VRK3,0.7161972522735596
hsa-miR-431-5p,VRK3,0.7161972522735596
hsa-miR-101-3p,VRK3,0.7161972522735596
hsa-miR-571,VRK3,0.7161972522735596
hsa-miR-129-2-3p,VRK3,0.7161972522735596
hsa-miR-514b-5p,VRK3,0.7161972522735596
hsa-miR-4491,VRK3,0.7161972522735596
hsa-miR-346,VRK3,0.7161972522735596
hsa-miR-493-5p,VRK3,0.7161972522735596
hsa-miR-651-5p,VRK3,0.7161972522735596
hsa-miR-526b-3p,VRK3,0.7161972522735596
hsa-miR-2116-3p,VRK3,0.7161972522735596
hsa-miR-26b-5p,VRK3,0.7161972522735596
hsa-miR-140-3p,VRK3,0.7161972522735596
hsa-miR-3679-5p,VRK3,0.7161972522735596
hsa-miR-34a-5p,VRK3,0.7161972522735596
hsa-miR-15a-3p,VRK3,0.7161972522735596
hsa-miR-183-5p,OSGEPL1,0.7161972522735596
hsa-miR-571,OSGEPL1,0.7161972522735596
hsa-miR-376a-3p,OSGEPL1,0.7161972522735596
hsa-miR-1260a,OSGEPL1,0.7161972522735596
hsa-miR-548j-5p,OSGEPL1,0.7161972522735596
hsa-miR-1263,OSGEPL1,0.7161972522735596
hsa-miR-431-5p,OSGEPL1,0.7161972522735596
hsa-miR-2114-5p,OSGEPL1,0.7161972522735596
hsa-miR-5000-3p,OSGEPL1,0.7161972522735596
hsa-miR-127-3p,OSGEPL1,0.7161972522735596
hsa-miR-346,OSGEPL1,0.7161972522735596
hsa-miR-3689a-5p,OSGEPL1,0.7161972522735596
hsa-miR-3529-3p,OSGEPL1,0.7161972522735596
hsa-miR-3157-5p,OSGEPL1,0.7161972522735596
hsa-miR-96-3p,OSGEPL1,0.7161972522735596
hsa-miR-140-3p,OSGEPL1,0.7161972522735596
hsa-miR-487b-5p,OSGEPL1,0.7161972522735596
hsa-miR-132-5p,ZNF768,0.7161972522735596
hsa-miR-6764-5p,ZNF768,0.7161972522735596
hsa-miR-380-3p,ZNF768,0.7161972522735596
hsa-miR-34a-5p,ZNF768,0.7161972522735596
hsa-miR-3174,ZNF768,0.7161972522735596
hsa-miR-1270,ZNF768,0.7161972522735596
hsa-miR-548j-5p,ZNF768,0.7161972522735596
hsa-miR-590-5p,ZNF768,0.7161972522735596
hsa-miR-3117-5p,ZNF768,0.7161972522735596
hsa-miR-1263,ZNF768,0.7161972522735596
hsa-miR-129-2-3p,ZNF768,0.7161972522735596
hsa-miR-183-5p,ZNF768,0.7161972522735596
hsa-miR-2114-5p,ZNF768,0.7161972522735596
hsa-miR-376a-5p,ZNF768,0.7161972522735596
hsa-miR-346,ZNF768,0.7161972522735596
hsa-miR-3689a-5p,ZNF768,0.7161972522735596
hsa-miR-3679-5p,ZNF768,0.7161972522735596
hsa-miR-3529-3p,ZNF768,0.7161972522735596
