source,destination,score
hsa-miR-612,DCAF11,0.9828377962112427
hsa-miR-661,SNX4,0.9823876619338989
hsa-miR-1307-3p,DCAF11,0.9818210005760193
hsa-miR-574-3p,UBE2C,0.9812279343605042
hsa-miR-574-3p,SNX4,0.9794084429740906
hsa-miR-661,DENND2C,0.9762720465660095
hsa-miR-661,GOPC,0.9728298783302307
hsa-miR-552-3p,DEPDC1B,0.9720283150672913
hsa-miR-661,KLC2,0.9716312885284424
hsa-miR-483-5p,B3GALNT1,0.971571683883667
hsa-miR-1307-3p,GOPC,0.9711698889732361
hsa-miR-661,UBE3A,0.9708896279335022
hsa-miR-1307-3p,DECR1,0.9705414175987244
hsa-miR-1307-3p,MARK2,0.9699909687042236
hsa-miR-574-3p,B3GALNT1,0.969357430934906
hsa-miR-483-5p,KLC2,0.969280481338501
hsa-miR-202-5p,B3GALNT1,0.9678468108177185
hsa-miR-574-3p,MARK2,0.9669934511184692
hsa-miR-202-5p,GOPC,0.9667243957519531
hsa-miR-483-5p,ACTB,0.966277539730072
hsa-miR-892b,DEPDC1B,0.9653774499893188
hsa-miR-1307-3p,TBC1D25,0.9652075171470642
hsa-miR-574-3p,RFK,0.9636255502700806
hsa-miR-1307-3p,BMI1,0.9628968238830566
hsa-miR-661,NFE2L1,0.9627108573913574
hsa-miR-483-5p,RANBP1,0.9626246690750122
hsa-miR-612,BRF2,0.9622885584831238
hsa-miR-483-5p,BMI1,0.9621384739875793
hsa-miR-661,DNAJC24,0.9621027112007141
hsa-miR-612,METTL14,0.9607564806938171
hsa-miR-1307-3p,SRD5A3,0.9600809216499329
hsa-miR-574-3p,RANBP1,0.9597424864768982
hsa-miR-483-5p,NFE2L1,0.9596514701843262
hsa-miR-574-3p,SND1,0.9594764113426208
hsa-miR-483-5p,SRD5A3,0.9592673778533936
hsa-miR-574-3p,BMI1,0.959220290184021
hsa-miR-483-5p,DNAJC24,0.9589956402778625
hsa-miR-1908-5p,DENND2C,0.9583518505096436
hsa-miR-574-3p,MFSD12,0.9579019546508789
hsa-miR-1307-3p,LIN52,0.9573456048965454
hsa-miR-661,DLGAP4,0.9570149183273315
hsa-miR-612,CYP26B1,0.9565820097923279
hsa-miR-574-3p,NFE2L1,0.9565503597259521
hsa-miR-1307-3p,GMPR,0.956545352935791
hsa-miR-661,LBR,0.9563969969749451
hsa-miR-574-3p,DNAJC24,0.95584636926651
hsa-miR-1307-3p,CKS2,0.9553440809249878
hsa-miR-483-5p,XPO7,0.9544194340705872
hsa-miR-574-3p,METTL14,0.9543941020965576
hsa-miR-661,NCK2,0.9538449048995972
hsa-miR-1307-3p,NUFIP2,0.9537325501441956
hsa-miR-574-3p,ZNF823,0.9534391164779663
hsa-miR-483-5p,DMPK,0.9530037641525269
hsa-miR-483-5p,PMEPA1,0.9525277614593506
hsa-miR-612,NCBP2,0.95247483253479
hsa-miR-574-3p,RLIM,0.9520076513290405
hsa-miR-483-5p,TTL,0.9516045451164246
hsa-miR-574-3p,CKS2,0.9509572386741638
hsa-miR-574-3p,XPO7,0.9509366750717163
hsa-miR-1307-3p,TMED7,0.950481116771698
hsa-miR-1307-3p,ASB1,0.9500025510787964
hsa-miR-661,NAPB,0.9495289921760559
hsa-miR-574-3p,DMPK,0.9494187235832214
hsa-miR-1307-3p,HSD17B8,0.9493377208709717
hsa-miR-574-3p,NUFIP2,0.9491958022117615
hsa-miR-4782-3p,ASB13,0.9488325715065002
hsa-miR-661,PHF11,0.9487998485565186
hsa-miR-1307-3p,AMOTL1,0.9477917551994324
hsa-miR-552-3p,HSD17B8,0.9477571249008179
hsa-miR-574-3p,ITGA2,0.9474331140518188
hsa-miR-202-5p,SVIP,0.9469998478889465
hsa-miR-877-3p,SEC22A,0.9467262625694275
hsa-miR-661,SNIP1,0.9466231465339661
hsa-miR-661,CHKA,0.946205198764801
hsa-miR-1307-3p,UNC5B,0.9461244344711304
hsa-miR-1224-3p,RPS6KB2,0.9460190534591675
hsa-miR-612,ACTN4,0.9459664225578308
hsa-miR-1307-3p,RHOU,0.9458227753639221
hsa-miR-1307-3p,CASK,0.9456670880317688
hsa-miR-574-3p,TMED7,0.9456438422203064
hsa-miR-574-3p,LBR,0.9452515244483948
hsa-miR-661,ATXN7L3,0.9451643824577332
hsa-miR-574-3p,ASB1,0.9451212286949158
hsa-miR-483-5p,RHOU,0.9447354078292847
hsa-miR-574-3p,INHBB,0.9446727633476257
hsa-miR-1307-3p,TIMM23,0.9445438385009766
hsa-miR-1307-3p,ARSJ,0.9436124563217163
hsa-miR-483-5p,TIMM23,0.9434323310852051
hsa-miR-574-3p,AMOTL1,0.9427075982093811
hsa-miR-483-5p,ARSJ,0.9424834847450256
hsa-miR-95-3p,LMNB1,0.941430926322937
hsa-miR-574-3p,UNC5B,0.9408880472183228
hsa-miR-661,MAGED2,0.9408642053604126
hsa-miR-1307-3p,ATXN7L3,0.9405624270439148
hsa-miR-574-3p,CASK,0.9403890371322632
hsa-miR-661,XYLT2,0.9400753378868103
hsa-miR-1307-3p,ZBTB7B,0.9399505257606506
hsa-miR-1307-3p,SEC63,0.9380583167076111
hsa-miR-612,VMA21,0.9373443722724915
hsa-miR-1307-3p,ARHGAP19,0.9366635680198669
hsa-miR-892b,CDON,0.9364251494407654
hsa-miR-574-3p,SNIP1,0.935211718082428
hsa-miR-483-5p,PEX13,0.9341109991073608
hsa-miR-661,NCSTN,0.9329876899719238
