source,destination,score
hsa-miR-4488,DSC2,1.0
hsa-miR-891a-5p,SPI1,1.0
hsa-miR-891a-5p,DSC2,1.0
hsa-miR-3934-5p,DSC2,1.0
hsa-miR-663b,DSC2,1.0
hsa-miR-1286,DSC2,1.0
hsa-miR-522-3p,DSC2,1.0
hsa-miR-6788-5p,DSC2,1.0
hsa-miR-1281,DSC2,1.0
hsa-miR-664a-3p,DSC2,1.0
hsa-miR-28-3p,DSC2,1.0
hsa-miR-1303,DSC2,1.0
hsa-miR-628-3p,DSC2,1.0
hsa-miR-4316,DSC2,1.0
hsa-miR-4488,SPI1,0.9999998807907104
hsa-miR-503-3p,SPI1,0.9999998807907104
hsa-miR-181a-3p,SPI1,0.9999998807907104
hsa-miR-1185-1-3p,DSC2,0.9999998807907104
hsa-miR-222-5p,TCF12,0.9999998807907104
hsa-miR-4428,SPI1,0.9999998807907104
hsa-miR-1249-5p,DSC2,0.9999998807907104
hsa-miR-3130-5p,DSC2,0.9999998807907104
hsa-miR-210-5p,SPI1,0.9999998807907104
hsa-miR-7160-3p,ADIPOR2,0.9999998807907104
hsa-miR-891a-5p,PTGES2,0.9999997615814209
hsa-miR-769-3p,MAP3K10,0.9999997615814209
hsa-miR-585-3p,ETS1,0.9999997615814209
hsa-miR-587,FYN,0.9999997615814209
hsa-miR-2276-5p,TCF12,0.9999997615814209
hsa-miR-3163,SPI1,0.9999997615814209
hsa-miR-891a-5p,CCL4,0.9999996423721313
hsa-miR-891a-5p,COPS5,0.9999996423721313
hsa-miR-579-3p,ADIPOR2,0.9999996423721313
hsa-miR-503-3p,TCF12,0.9999996423721313
hsa-miR-3156-5p,TCF12,0.9999996423721313
hsa-miR-4268,SPI1,0.9999996423721313
hsa-miR-4301,SPI1,0.9999995231628418
hsa-miR-1286,SPI1,0.9999995231628418
hsa-miR-204-3p,ADIPOR2,0.9999995231628418
hsa-miR-663b,PTGES2,0.9999994039535522
hsa-miR-579-3p,FRS2,0.9999994039535522
hsa-miR-486-3p,SPI1,0.9999994039535522
hsa-miR-4428,ADIPOR2,0.9999994039535522
hsa-miR-199b-3p,TCF12,0.9999994039535522
hsa-miR-4792,SPI1,0.9999992847442627
hsa-miR-2909,MAP3K10,0.9999992847442627
