source,destination,score
hsa-miR-92b-3p,RARA,0.9999649524688721
hsa-miR-92b-3p,FERMT2,0.9999649524688721
hsa-miR-92b-3p,KDM5A,0.9999649524688721
hsa-miR-92b-3p,LIMS1,0.9999649524688721
hsa-miR-92b-3p,NEK2,0.9999649524688721
hsa-miR-92b-3p,NAP1L4,0.9999649524688721
hsa-miR-92b-3p,BLVRA,0.9999649524688721
hsa-miR-92b-3p,HUWE1,0.9999649524688721
hsa-miR-92b-3p,MYH9,0.9999649524688721
hsa-miR-92b-3p,HPRT1,0.9999649524688721
hsa-miR-92b-3p,PDK4,0.9999649524688721
hsa-miR-92b-3p,TLN1,0.9999649524688721
hsa-miR-125a-3p,USP15,0.9999256134033203
hsa-miR-125a-3p,ADAMTS5,0.9999256134033203
hsa-miR-125a-3p,HMMR,0.9999256134033203
hsa-miR-125a-3p,PAK6,0.9999256134033203
hsa-miR-125a-3p,PLXNB2,0.9999256134033203
hsa-miR-125a-3p,PTPN4,0.9999256134033203
hsa-miR-202-5p,KMT2C,0.9998538494110107
hsa-miR-202-5p,STK36,0.9998538494110107
hsa-miR-202-5p,FMNL3,0.9998538494110107
hsa-miR-202-5p,PPP1CC,0.9998538494110107
hsa-miR-202-5p,ATG3,0.9998538494110107
hsa-miR-202-5p,MTHFD2,0.9998538494110107
hsa-miR-202-5p,METTL7A,0.9998538494110107
hsa-miR-498,ARHGAP11A,0.9998243451118469
hsa-miR-498,YWHAE,0.9998243451118469
hsa-miR-498,DCUN1D3,0.9998243451118469
hsa-miR-498,BMPR1A,0.9998243451118469
hsa-miR-498,CD180,0.9998243451118469
hsa-miR-450a-1-3p,DCTN4,0.9992966651916504
hsa-miR-450a-1-3p,BAG2,0.9992966651916504
hsa-miR-450a-1-3p,APEX1,0.9992966651916504
hsa-miR-450a-1-3p,YWHAE,0.9992966651916504
hsa-miR-450a-1-3p,TRIM14,0.9992966651916504
hsa-miR-450a-1-3p,KDM6A,0.9992966651916504
hsa-miR-450a-1-3p,ODC1,0.9992966651916504
hsa-miR-450a-1-3p,USP15,0.9992966651916504
hsa-miR-450a-1-3p,CLDN7,0.9992966651916504
hsa-miR-450a-1-3p,EIF2A,0.9992966651916504
hsa-miR-450a-1-3p,CTSB,0.9992966651916504
hsa-miR-142-3p,BAG2,0.9992672801017761
hsa-miR-142-3p,HNRNPC,0.9992672801017761
hsa-miR-142-3p,ZNRF2,0.9992672801017761
hsa-miR-142-3p,ABR,0.9992672801017761
hsa-miR-142-3p,LIMS1,0.9992672801017761
hsa-miR-142-3p,NEK2,0.9992672801017761
hsa-miR-142-3p,NAP1L4,0.9992672801017761
hsa-miR-142-3p,PAWR,0.9992672801017761
hsa-miR-142-3p,COL12A1,0.9992672801017761
hsa-miR-142-3p,PAICS,0.9992672801017761
hsa-miR-142-3p,PARP4,0.9992672801017761
hsa-miR-142-3p,PTPN4,0.9992672801017761
hsa-miR-142-3p,TNIP2,0.9992672801017761
hsa-miR-142-3p,EIF2A,0.9992672801017761
hsa-miR-142-3p,PTPN14,0.9992672801017761
hsa-miR-202-3p,KDM6A,0.9990757703781128
hsa-miR-202-3p,TRIM38,0.9990757703781128
hsa-miR-202-3p,ARFIP2,0.9990757703781128
hsa-miR-202-3p,CSK,0.9990757703781128
hsa-miR-202-3p,GPER1,0.9990757703781128
hsa-miR-202-3p,VEGFB,0.9990757703781128
hsa-miR-202-3p,ELF1,0.9990757703781128
hsa-miR-30e-5p,YKT6,0.9990049004554749
hsa-miR-30e-5p,PRKCI,0.9990049004554749
hsa-miR-30e-5p,GSDMD,0.9990049004554749
hsa-miR-30e-5p,PARP4,0.9990049004554749
hsa-miR-30e-5p,FBP1,0.9990049004554749
hsa-miR-450a-1-3p,KMT2C,0.9989877343177795
hsa-miR-450a-1-3p,NOD1,0.9989877343177795
hsa-miR-450a-1-3p,SYNE1,0.9989877343177795
hsa-miR-450a-1-3p,COL24A1,0.9989877343177795
hsa-miR-450a-1-3p,KDM5A,0.9989877343177795
hsa-miR-450a-1-3p,DDHD2,0.9989877343177795
hsa-miR-450a-1-3p,COL6A3,0.9989877343177795
hsa-miR-450a-1-3p,MTO1,0.9989877343177795
hsa-miR-550a-3p,RSU1,0.9989423155784607
hsa-miR-34b-3p,YKT6,0.9988849759101868
hsa-miR-34b-3p,PLCD3,0.9988849759101868
hsa-miR-34b-3p,CITED2,0.9988849759101868
hsa-miR-34b-3p,IL6ST,0.9988849759101868
hsa-miR-487b-3p,CEP135,0.9987567663192749
hsa-miR-487b-3p,LBR,0.9987567663192749
hsa-miR-487b-3p,TRIM38,0.9987567663192749
hsa-miR-487b-3p,RAP1GAP,0.9987567663192749
hsa-miR-487b-3p,RPL38,0.9987567663192749
hsa-miR-487b-3p,TBP,0.9987567663192749
hsa-miR-150-5p,KDM6A,0.9987554550170898
hsa-miR-150-5p,CYP3A5,0.9987554550170898
hsa-miR-150-5p,TRIM38,0.9987554550170898
hsa-miR-150-5p,FANCF,0.9987554550170898
hsa-miR-502-5p,KCNN3,0.9987385869026184
hsa-miR-502-5p,BAG2,0.9987385869026184
hsa-miR-502-5p,RSU1,0.9987385869026184
hsa-miR-502-5p,ZNRF2,0.9987385869026184
hsa-miR-502-5p,PPP1R12A,0.9987385869026184
hsa-miR-502-5p,HMMR,0.9987385869026184
hsa-miR-875-5p,KMT2C,0.9985809326171875
